Country Name,Country Code,Year,Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Net migration,Population ages 0-14 (% of total population),"Population ages 0-14, female","Population ages 0-14, female (% of female population)","Population ages 0-14, male","Population ages 0-14, male (% of male population)","Population ages 0-14, total","Population ages 00-04, female (% of female population)","Population ages 00-04, male (% of male population)","Population ages 05-09, female (% of female population)","Population ages 05-09, male (% of male population)","Population ages 10-14, female (% of female population)","Population ages 10-14, male (% of male population)","Population ages 15-19, female (% of female population)","Population ages 15-19, male (% of male population)",Population ages 15-64 (% of total population),"Population ages 15-64, female","Population ages 15-64, female (% of female population)","Population ages 15-64, male","Population ages 15-64, male (% of male population)","Population ages 15-64, total","Population ages 20-24, female (% of female population)","Population ages 20-24, male (% of male population)","Population ages 25-29, female (% of female population)","Population ages 25-29, male (% of male population)","Population ages 30-34, female (% of female population)","Population ages 30-34, male (% of male population)","Population ages 35-39, female (% of female population)","Population ages 35-39, male (% of male population)","Population ages 40-44, female (% of female population)","Population ages 40-44, male (% of male population)","Population ages 45-49, female (% of female population)","Population ages 45-49, male (% of male population)","Population ages 50-54, female (% of female population)","Population ages 50-54, male (% of male population)","Population ages 55-59, female (% of female population)","Population ages 55-59, male (% of male population)","Population ages 60-64, female (% of female population)","Population ages 60-64, male (% of male population)",Population ages 65 and above (% of total population),"Population ages 65 and above, female","Population ages 65 and above, female (% of female population)","Population ages 65 and above, male","Population ages 65 and above, male (% of male population)","Population ages 65 and above, total","Population ages 65-69, female (% of female population)","Population ages 65-69, male (% of male population)","Population ages 70-74, female (% of female population)","Population ages 70-74, male (% of male population)","Population ages 75-79, female (% of female population)","Population ages 75-79, male (% of male population)","Population ages 80 and above, female (% of female population)","Population ages 80 and above, male (% of male population)",Population in largest city,Population in the largest city (% of urban population),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Rural population,Rural population (% of total population),Urban population,Urban population (% of total population)
Afghanistan,AFG,1960,81.0613894386502,5.11201905233701,75.9493703863132,2606.0,41.9467543238724,1884411.0,43.3716546348467,1905497.0,40.6268009453664,3789907.0,17.5969150237922,16.6035036549263,13.4499332937995,12.6948698841958,12.324806317255,11.3284274062442,10.2805918387239,10.1839349543574,55.2298835085852,2343123.0,53.9293824558262,2646921.0,56.4345998982996,4990044.0,8.79761167290037,8.96969134874617,7.49932361650373,7.82276832020502,6.34336667166498,6.90348798410318,5.33220355328331,5.81024019001139,4.46940174555851,4.84688966141427,3.74516792896149,4.00193380089953,3.09459690708326,3.23145166190679,2.4816340734789,2.65837925310938,1.88548444766771,2.00582272354642,2.82336216754241,117264.0,2.6989629093271,137827.0,2.93859915633405,255092.0,1.31511277220336,1.44768556866432,0.808173267413897,0.880966772524676,0.398959813671451,0.428261210235286,0.176717056038387,0.181685604909765,285352.0,37.5940998690441,4344798.0,48.0882935476898,4690245.0,51.9117064523102,9035043.0,8276009.0,91.599,759034.0,8.401
Afghanistan,AFG,1961,81.2840359519206,5.09290674973051,76.1911292021901,6109.0,42.0285881948318,1924660.0,43.3638233065572,1947890.0,40.7876547108226,3872549.0,17.6805082192926,16.7484071391658,13.5329766431544,12.8260684752174,12.1503384441101,11.2131790964394,10.4077956938977,10.2202113875206,55.1620546504736,2393988.0,53.9380979492831,2688690.0,56.2995688156922,5082677.0,8.76400476838608,8.93699206228888,7.49148510532739,7.79232880567475,6.33618113198025,6.87440793821367,5.32401435742933,5.8208101708572,4.45722658102618,4.84179857796286,3.73117648954049,3.99487277633947,3.08034496222624,3.20899582133156,2.4707107224925,2.62439893426784,1.87515813697687,1.98475234123531,2.80935715469461,119751.0,2.69807874415977,139105.0,2.91277647348526,258856.0,1.31032608830346,1.425136168976,0.805887438240681,0.875570912983355,0.401135634718735,0.427593199215023,0.180729582896896,0.184476192310881,300359.0,37.5377897421862,4438399.0,48.1697310519126,4775684.0,51.8302689480874,9214083.0,8413932.0,91.316,800151.0,8.684
Afghanistan,AFG,1962,81.5068083352119,5.06917574290293,76.4376325923089,7016.0,42.1128139299813,1966249.0,43.3352691416361,1994211.0,40.9731974471098,3960460.0,17.7637226585443,16.8908105855815,13.6118326007015,12.9522112809837,11.9597138823903,11.1301755805446,10.5532260961652,10.2384453529003,55.0943515199152,2448706.0,53.9684106940369,2732591.0,56.1439938394666,5181296.0,8.7247908720945,8.89678702622562,7.49202994295059,7.7728656691824,6.32938788419091,6.82820876696669,5.31535860022326,5.8357514344752,4.44509338713925,4.83479830231938,3.71711559420315,3.98517724374891,3.06638647035293,3.19736903473128,2.45926262233335,2.58285664740336,1.86575922438369,1.97173436151343,2.79283455010343,122340.0,2.69632016432698,140309.0,2.88280871342363,262649.0,1.3050506965053,1.39832438586258,0.80389306844717,0.871112247080455,0.402761998062722,0.426341211449667,0.184614401311795,0.18703086903093,316177.0,37.4555612286602,4537295.0,48.2464814896337,4867111.0,51.7535185103663,9404406.0,8560267.0,91.024,844139.0,8.976
Afghanistan,AFG,1963,81.8545805002831,5.04656900335327,76.8080114969298,6681.0,42.2359518004449,2010389.0,43.3200356534547,2046157.0,41.2223939690181,4056546.0,17.8491589083699,17.0334946544439,13.6865868259989,13.0728825911706,11.7842899190859,11.1160167234035,10.675996698403,10.1931874442515,54.9889910830219,2505382.0,53.9861848788712,2776028.0,55.9265588540006,5281410.0,8.69955284499851,8.86171159532627,7.48970351887704,7.75796897577967,6.32212075350622,6.77252514629956,5.30587016052997,5.84659334438355,4.43306514232669,4.82786790707138,3.70294074202325,3.97347544499293,3.05254424117302,3.19258658229416,2.44720477755431,2.53906232293333,1.85718599947918,1.96158009066821,2.77505711653314,125012.0,2.69377946767405,141518.0,2.8510471769813,266530.0,1.29931695815654,1.37074089351648,0.802342793551392,0.866248531212336,0.403778714568625,0.424753498018868,0.188341001397501,0.189304254233609,332829.0,37.3582351567832,4640784.0,48.3189159400184,4963703.0,51.6810840599816,9604487.0,8713575.0,90.724,890912.0,9.276
Afghanistan,AFG,1964,82.3730133850468,5.02945951585938,77.3435538691874,7079.0,42.4095387983149,2059281.0,43.3632897190594,2102926.0,41.5153825531339,4162207.0,17.934117008893,17.1737788855955,13.7613752562697,13.1911231737426,11.6677974538967,11.1504804937958,10.7216633564292,10.0998556090381,54.8326689638547,2561847.0,53.9460789268429,2819605.0,55.6638608413843,5381453.0,8.71315781494003,8.84454854035623,7.47103963356598,7.73493538731484,6.31206695271161,6.71917438535133,5.29535867644408,5.84221743770598,4.42143071327616,4.8243638131059,3.68872480892433,3.96189729013265,3.0386800828149,3.18772562321658,2.43481443297232,2.50206597131054,1.8491424547643,1.94707678385222,2.75779223783048,127775.0,2.6906313540977,142883.0,2.8207566054818,270658.0,1.2933721128075,1.34735285210646,0.801163805374882,0.858952496281647,0.404303814101106,0.423203315661859,0.191791621814212,0.191247941431836,350382.0,37.2429451074138,4748904.0,48.3875089435659,5065414.0,51.6124910564341,9814318.0,8873517.0,90.414,940801.0,9.586
Afghanistan,AFG,1965,83.0962139283287,5.01989044519751,78.0763234831312,10695.0,42.6422367019717,2115680.0,43.5081837453679,2163898.0,41.8282756234427,4279578.0,18.0170412907924,17.3097583935948,13.8352549093681,13.306048955307,11.6558875452075,11.212468274541,10.6383497214572,9.98272859244311,54.616090649983,2616366.0,53.8045951045696,2864909.0,55.3788691528988,5481275.0,8.77280887223885,8.84682668089359,7.43965541085712,7.6997326652865,6.29665278794156,6.67202109296019,5.28373172331485,5.82116989381999,4.41010517059542,4.82296565628449,3.6746729221525,3.95200153094066,3.0248100933665,3.18020060735045,2.4223692981611,2.47466312539989,1.84143910448446,1.92655930751997,2.74167264804529,130672.0,2.68722115006246,144483.0,2.79285522365845,275154.0,1.2874691389189,1.3291928347338,0.800128570058086,0.849101828816865,0.40467076183826,0.421694898217575,0.194952679247215,0.192865661890209,368809.0,37.1047903046985,4862718.0,48.4527114765154,5173290.0,51.5472885234846,10036008.0,9042042.0,90.096,993966.0,9.904
Afghanistan,AFG,1966,83.9487837199585,5.01582479203084,78.9329589279277,3563.0,42.9102864247869,2177147.0,43.7113379293729,2228192.0,42.155446129455,4405340.0,18.101024195714,17.4433738848951,13.9039750639338,13.4143197889761,11.7063386697251,11.2977524555838,10.4692427577241,9.85502749657919,54.3629579808686,2669918.0,53.6048627336815,2911198.0,55.0773200874253,5581116.0,8.86744181961005,8.85665596002011,7.40077147209625,7.65461061372213,6.28197129441172,6.63224017068832,5.2716590665539,5.78566621087348,4.39859558950858,4.82378966098352,3.66073297378149,3.94215856778461,3.01085933559036,3.17080703772426,2.40995434913002,2.45548448797524,1.833634075275,1.9008798810744,2.72675559434446,133673.0,2.68379933694558,146266.0,2.7672337831197,279939.0,1.2818784366773,1.31600467869891,0.798907792269719,0.836707637602323,0.405120727603091,0.420354515970814,0.197892380395474,0.194166950847648,388232.0,36.9547669814194,4980738.0,48.5149608489678,5285657.0,51.4850391510322,10266395.0,9215835.0,89.767,1050560.0,10.233
Afghanistan,AFG,1967,84.793913350911,5.01390445065547,79.7800089002556,6824.0,43.1724224318789,2240887.0,43.9115419009444,2294790.0,42.4742879792595,4535677.0,18.187290700542,17.5759602774463,13.9712859685947,13.5196925209446,11.7529652318077,11.3786351808686,10.2868022898251,9.75656118907054,54.1143364446787,2725512.0,53.4080533439463,2959718.0,54.7814553429909,5685230.0,8.97709067739957,8.85097092243994,7.35711201505648,7.603426720845,6.27419996278794,6.60198755287677,5.25973536720062,5.73598805576653,4.38657469664285,4.82819521710558,3.64673274109529,3.93076742329335,2.99676603893118,3.15932119691466,2.39769892701312,2.44445701000477,1.82534062799415,1.86978005467376,2.71324112344242,136786.0,2.68040475510929,148266.0,2.74425667774955,285052.0,1.27679099197766,1.30791133333438,0.797296276472073,0.821762966416607,0.405717253608996,0.41936786367819,0.200600233050559,0.195214514320374,408087.0,36.7487032634536,5103185.0,48.5741902691425,5402774.0,51.4258097308575,10505959.0,9395479.0,89.43,1110480.0,10.57
Afghanistan,AFG,1968,85.6302795087328,5.01248531013096,80.6177941986019,3333.0,43.4292236863493,2307324.0,44.1086736865488,2364323.0,42.7860364297578,4671648.0,18.2721198883693,17.7069817489281,14.0404429402067,13.624513701062,11.7961108579727,11.4545409797677,10.1185155915232,9.7188487278684,53.8705242015571,2783636.0,53.2142375467633,3011174.0,54.4917843574339,5794810.0,9.06717731477512,8.79056019972775,7.32542604907532,7.55698325093984,6.26409924145472,6.57584381393729,5.24749620029595,5.67863607195324,4.37394421467637,4.82924840415771,3.63287169115577,3.91949976854541,2.98259443534644,3.14631657848229,2.38555748284816,2.43860662528353,1.81655532561225,1.83724091653845,2.70025211209359,140038.0,2.6770887666879,150426.0,2.72217921280829,290464.0,1.2722042890656,1.30154750646136,0.795392926342279,0.806453656059568,0.406471076894578,0.418111221982504,0.20302047438544,0.196066828304851,428363.0,36.4737777376641,5230999.0,48.6291476901243,5525923.0,51.3708523098757,10756922.0,9582481.0,89.082,1174441.0,10.918
Afghanistan,AFG,1969,86.456962149139,5.00886640348956,81.4480957456495,2029.0,43.6819809448846,2376146.0,44.3040946140084,2436476.0,43.0918720853236,4812623.0,18.3554793581895,17.8369882337627,14.1093158738194,13.7269142773866,11.8392993819996,11.5279695741743,10.0013984019063,9.72377074230865,53.6316796444609,2843712.0,53.0220397463112,3065109.0,54.2099564496412,5908822.0,9.09158879898719,8.68911368369819,7.32649794481533,7.5260021676137,6.24036850687035,6.54297096076789,5.23299706428827,5.62345069386277,4.36050614690865,4.81773191485749,3.61939042728636,3.91103410171372,2.96841569454428,3.13344513333937,2.37338636073362,2.43266708453127,1.80749039997091,1.80976996694814,2.68633941065454,143407.0,2.67386563968031,152558.0,2.6981714650352,295965.0,1.26796829916105,1.29212308706676,0.793322724124204,0.793701044755846,0.407363797984996,0.415535932583252,0.205210818410054,0.196811400629344,449585.0,36.1922633236007,5363265.0,48.6799119466292,5654144.0,51.3200880533708,11017409.0,9775196.0,88.725,1242213.0,11.275
Afghanistan,AFG,1970,87.257666613481,5.00236018280387,82.2553064306771,4458.0,43.9262709832108,2447796.0,44.4938528642766,2511537.0,43.3868568324496,4959332.0,18.4350270039175,17.9616817479078,14.1767658700729,13.8263861674726,11.8820599902862,11.5987889170693,9.97424485006064,9.75317702832767,53.4023508591909,2906690.0,52.8352386582092,3122503.0,53.9413186389664,6029194.0,9.00691348276374,8.56836077370347,7.3665472793953,7.51206207054827,6.20629313428669,6.50026383282543,5.21428633750098,5.57395105829829,4.34632924130189,4.79273122211217,3.6063299247613,3.90451851610641,2.95454413257368,3.12208079062954,2.36129772946059,2.42480030286575,1.79845254610443,1.78937304354939,2.67137815759831,146938.0,2.67090847751419,154664.0,2.67182452858399,301602.0,1.26397274596541,1.27864555508846,0.791276949386196,0.784087490402644,0.408321554564782,0.411612030224039,0.2073372275978,0.197479452868851,471891.0,35.8986238218043,5501424.0,48.7277423894346,5788704.0,51.2722576105654,11290128.0,9975618.0,88.357,1314510.0,11.643
Afghanistan,AFG,1971,88.026352404817,4.99330965814889,83.0330427466682,-12801.0,44.1603244560755,2520581.0,44.6761297375803,2587738.0,43.6692288649021,5108319.0,18.5100878755929,18.0800861187515,14.245147885999,13.9248968615223,11.9208939759884,11.6642458846283,10.0009633285545,9.80323910593238,53.1840321309374,2970786.0,52.6558046571751,3181366.0,53.6869548283253,6152152.0,8.85043708263702,8.43986377468856,7.4362938065241,7.5050655855584,6.16639280780851,6.44974299546844,5.1965150370979,5.53113679215751,4.33206280902175,4.75622497055658,3.59333071778258,3.9000747750799,2.94094370572023,3.11096226971984,2.3492898177058,2.41564346647888,1.78957554432273,1.77500109268482,2.6556434129871,150529.0,2.66806560524462,156667.0,2.64381630677257,307196.0,1.25994867151498,1.26181048845796,0.789450852209005,0.777392511455472,0.409215234628994,0.406445000996495,0.209450846891644,0.198168305862646,495303.0,35.6192410335774,5641896.0,48.7729807574855,5925771.0,51.2270192425145,11567667.0,10177118.0,87.979,1390549.0,12.021
Afghanistan,AFG,1972,88.7756358202595,4.98193176224362,83.7937040580158,-4050.0,44.3879908848683,2595479.0,44.8545133104292,2666138.0,43.9430609158407,5261617.0,18.5799645377814,18.1914938153261,14.3153821693476,14.0238107638774,11.9591666033001,11.7277563366372,10.0251622759417,9.85005412661012,52.9729335052966,3036741.0,52.4803074083547,3242509.0,53.4427589671509,6279251.0,8.68400087100186,8.33769829392397,7.51899267943675,7.48549261807974,6.12309986796718,6.39481834951418,5.18484595018699,5.49680943082013,4.31824230442206,4.70855358666257,3.58018056006802,3.89880532484537,2.92750810515619,3.09883083885038,2.33736114087418,2.40511526133066,1.78091365329978,1.76658113651377,2.63907560983511,154219.0,2.66517928121608,158609.0,2.61418011700841,312828.0,1.25565978390859,1.24153324006767,0.78801473790448,0.773636385212689,0.409932531919453,0.400082014010947,0.211572227483565,0.19892847771711,528508.0,35.9274093772858,5786440.0,48.8154918094744,6067256.0,51.1845081905256,11853696.0,10382652.0,87.59,1471044.0,12.41
Afghanistan,AFG,1973,89.5107402157941,4.97009804586322,84.5406421699309,-3030.0,44.6099459043406,2674631.0,45.0293425525727,2749046.0,44.2093326302413,5423677.0,18.6446068249477,18.2961532406159,14.3853216106227,14.1218417344953,11.9994141170023,11.7913376551301,10.0467485808542,9.89308562364924,52.7674598111309,3106985.0,52.3083242946571,3308482.0,53.2060321823819,6415467.0,8.53075948871607,8.2884774438841,7.58540023342723,7.42026651562731,6.09028743201,6.34466594845782,5.17158753668608,5.46646024192992,4.30443019300888,4.65516245977363,3.56675635895603,3.89510902349167,2.91437227392892,3.08711603125447,2.32553460771303,2.39369713039704,1.77244758935663,1.76199176391674,2.62259428452847,158136.0,2.66233315277025,160719.0,2.58463518737676,318855.0,1.25111273575793,1.22054495422906,0.786951981585091,0.770868381394306,0.410513737735705,0.393688124643489,0.213754697691528,0.199533727109907,573161.0,36.804364940237,5939752.0,48.8546840643761,6218247.0,51.1453159356239,12157999.0,10600681.0,87.191,1557318.0,12.809
Afghanistan,AFG,1974,90.2437777766589,4.9605227965993,85.2832549800596,-20009.0,44.828404780399,2755656.0,45.2026585958804,2834055.0,44.4703989595947,5589711.0,18.708879781432,18.3992502001836,14.4546818355062,14.2184854275941,12.0390969789421,11.852663331817,10.068123300229,9.93391392711106,52.5641391159196,3178441.0,52.1378597297623,3375848.0,52.9719118498781,6554289.0,8.42098114644873,8.27580720303046,7.59645456028488,7.3208496413172,6.08470766050239,6.30781021076587,5.14698808303597,5.43067435066071,4.2887357103178,4.60384525038126,3.55265729589563,3.88135638698922,2.90152488617752,3.07778984798289,2.31371034421217,2.38249425183288,1.76397674265822,1.75737077980656,2.60745610368136,162128.0,2.65948167435735,162999.0,2.5576891905272,325127.0,1.24640238455746,1.20312554674865,0.786084766713436,0.766213063720902,0.411041225427111,0.388700530574694,0.215953297659347,0.199650049482959,621656.0,37.7151163566694,6096225.0,48.8905557614864,6372902.0,51.1094442385136,12469127.0,10820833.0,86.781,1648294.0,13.219
